,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
162,Florida,1995,2107514.0,13242710,938814,6519109,5784787,13473977,6113051,4077880,951023.0,2070572,6.283569172019735,6.39330367437654,2.900598050594207
163,Georgia,1995,1270948.0,7052825,458452,3652134,2942239,7292267,3813194,2009750,442434.0,898969,5.549263227134391,5.737659605271026,3.0002753849882136
164,Hawaii,1995,183869.0,1173579,82547,1062296,28736,1157159,636952,328579,96922.0,94706,6.3826909375696825,6.293388227488048,3.464161984891417
165,Idaho,1995,240448.0,1083215,80861,665768,336586,1108075,602038,301143,46107.0,134550,4.504986525153048,4.608376863188714,2.5038178733031673
166,Illinois,1995,1897161.0,12236673,686758,4100518,7449397,11821661,6031588,3778799,457236.0,1023865,6.44999185625258,6.231237622953455,3.179270499446278
167,Indiana,1995,966622.0,6514934,292362,3335998,2886574,6377558,3145120,1760003,290661.0,643725,6.7398983263364585,6.597778655979276,3.2537227582240007
168,Iowa,1995,498837.0,3076971,141050,1381253,1554668,3100772,1614502,872640,127943.0,209808,6.168289441240325,6.216002421632718,3.2365321738363435
169,Kansas,1995,460905.0,2826943,137424,1613143,1076376,2756682,1407359,881083,162631.0,177250,6.1334613423590545,5.981019949881212,3.0534687191503673
170,Kentucky,1995,639992.0,3508673,312742,2218928,977003,3415870,1890546,1112902,211275.0,143259,5.482370092126152,5.337363592044901,2.9540150501881275
171,Louisiana,1995,797061.0,3791795,449360,1999375,1343060,3735603,2050103,1081590,289366.0,219314,4.757220589139351,4.686721593453951,2.572077921263241
172,Maine,1995,212154.0,1446745,78233,652626,715886,1438795,833366,391838,63055.0,70968,6.8193152144197136,6.781842435212157,3.9281182537213533
173,Maryland,1995,790938.0,5580123,270249,2059219,3250655,5610071,3064702,1768323,253194.0,458731,7.0550700560600195,7.092933959425391,3.8747689452270597
174,Massachusetts,1995,893727.0,7326904,265878,2095327,4965699,6706082,3681274,1840847,217956.0,259982,8.198145518709852,7.503501628573379,4.119013971828086
175,Michigan,1995,1604527.0,12500208,692600,8053624,3753984,12477806,6162390,3915929,947067.0,753611,7.79058750647387,7.776625759491738,3.840627175485361
176,Minnesota,1995,816695.0,5744447,235069,2919940,2589438,6155324,3109813,1526879,523268.0,662497,7.033772705844899,7.536869945328427,3.8078021782917735
177,Mississippi,1995,503301.0,2118973,310290,1185162,623521,2160068,1189394,569686,164815.0,204426,4.210150585832335,4.291801526323214,2.363186244414376
178,Missouri,1995,862505.0,4852467,313295,2276277,2262895,4957215,2573557,1449433,262319.0,526263,5.626016081066196,5.74746233355169,2.983816905409244
179,Montana,1995,164109.0,911284,89446,449477,372361,899635,523380,281496,36492.0,46881,5.552919096454186,5.48193578658087,3.189221797707621
180,Nebraska,1995,285836.0,1832463,102783,560994,1168686,1874253,1041372,470308,66223.0,242244,6.4108894610895755,6.55709217873186,3.6432499755104324
181,Nevada,1995,250749.0,1367710,65007,860823,441880,1381200,705709,438671,48399.0,126131,5.454498323024219,5.508297141763277,2.8144040454797428
182,New Hampshire,1995,186239.0,1197945,35162,83613,1079170,1232465,676601,347776,40081.0,80404,6.4322993572774765,6.61765258619301,3.632971611746197
183,New Jersey,1995,1171658.0,11870183,397612,4369467,7103104,11961696,6065026,4166818,491691.0,719638,10.13109883600846,10.209204392408024,5.176447393351985
184,New Mexico,1995,327253.0,1646265,205847,1215392,225026,1540683,774207,494348,79707.0,171166,5.030557397487571,4.707926283334301,2.365775103665971
185,New York,1995,2738361.0,25063999,1368074,9932669,13763256,26540967,15693535,6970608,945437.0,1811288,9.152919940066338,9.692281989116848,5.730995657621475
186,North Carolina,1995,1155248.0,6076939,443689,3867404,1765846,6217951,3417870,1737660,387340.0,564673,5.260289565530518,5.382351668213232,2.9585595473872277
187,North Dakota,1995,119288.0,642234,72116,256507,313611,621904,327382,159739,50761.0,39515,5.383894440346054,5.213466568305278,2.7444671718865266
188,Ohio,1995,1829761.0,11368650,675770,4385097,6307783,11330046,6041768,3905229,510503.0,678965,6.213188498388587,6.192090661020757,3.301943805775727
189,Oklahoma,1995,609743.0,3156526,274027,1804537,1077962,3180275,1623941,921572,291242.0,295180,5.176813837961239,5.215763034589983,2.6633204481232258
190,Oregon,1995,519284.0,3302062,224156,1521849,1556057,3255984,1789292,1060444,112701.0,213860,6.3588749123793535,6.2701411944138465,3.445690604755779
191,Pennsylvania,1995,1741698.0,13957035,714271,5401558,7841206,14135826,7562476,3908949,550426.0,963078,8.01346444676402,8.116117719604661,4.342013368563322
192,Rhode Island,1995,146609.0,1089859,55060,434056,600743,1056716,677240,308559,27613.0,18871,7.433779645178673,7.207715760969654,4.619361703578907
193,South Carolina,1995,638880.0,3389646,288860,1550416,1550370,3286673,1707358,998972,232372.0,262152,5.305606686701728,5.144429313799148,2.672423616328575
194,South Dakota,1995,135494.0,684882,65762,179725,439395,693964,380309,199942,30140.0,68754,5.054703529307571,5.121732327630744,2.806832774883021
195,Tennessee,1995,870594.0,3870164,332765,1855788,1681611,3958973,2245634,1020793,221723.0,394695,4.445429212698456,4.547438875066908,2.579427379467352
196,Texas,1995,3670007.0,20483376,1496378,8718907,10268091,20198924,10652067,5778548,1087321.0,2104954,5.581290716884191,5.503783507769876,2.9024650361702307
197,Utah,1995,472589.0,1953833,134118,1055987,763728,2045331,1069735,435270,143824.0,348647,4.134317557116225,4.327927649606741,2.263563053731678
198,Vermont,1995,100317.0,934916,33672,224946,676298,891398,415719,208906,24883.0,36040,9.31961681469741,8.885811976035965,4.1440533508777175
